+9.908667e-02  +1.000000e-01,  +5.000000e-02  +2.474585e-02  +7.474585e-02,
+2.976498e-01  +3.000000e-01,  +1.500000e-01  +7.493143e-02  +2.249314e-01,
+4.948962e-01  +5.000000e-01,  +2.500000e-01  +1.246292e-01  +3.746292e-01,
+6.929553e-01  +7.000000e-01,  +3.500000e-01  +1.727339e-01  +5.227339e-01,
+8.996034e-01  +9.000000e-01,  +4.500000e-01  +2.248186e-01  +6.748186e-01,
+1.095435e+00  +1.100000e+00,  +5.500000e-01  +2.752067e-01  +8.252067e-01,
+1.290903e+00  +1.300000e+00,  +6.500000e-01  +3.235826e-01  +9.735826e-01,
+1.492841e+00  +1.500000e+00,  +7.500000e-01  +3.781516e-01  +1.128152e+00,
+1.686952e+00  +1.700000e+00,  +8.500000e-01  +4.225447e-01  +1.272545e+00,
+1.878544e+00  +1.900000e+00,  +9.500000e-01  +4.741582e-01  +1.424158e+00,
+2.080967e+00  +2.100000e+00,  +1.050000e+00  +5.222144e-01  +1.572214e+00,
+2.289086e+00  +2.300000e+00,  +1.150000e+00  +5.763878e-01  +1.726388e+00,
+2.476006e+00  +2.500000e+00,  +1.250000e+00  +6.225794e-01  +1.872579e+00,
+2.682790e+00  +2.700000e+00,  +1.350000e+00  +6.736148e-01  +2.023615e+00,
+2.872444e+00  +2.900000e+00,  +1.450000e+00  +7.276086e-01  +2.177609e+00,
+3.072033e+00  +3.100000e+00,  +1.550000e+00  +7.729849e-01  +2.322985e+00,
+3.267395e+00  +3.300000e+00,  +1.650000e+00  +8.322565e-01  +2.482257e+00,
+3.471553e+00  +3.500000e+00,  +1.750000e+00  +8.680026e-01  +2.618003e+00,
+3.657250e+00  +3.700000e+00,  +1.850000e+00  +9.238779e-01  +2.773878e+00,
+3.850173e+00  +3.900000e+00,  +1.950000e+00  +9.668913e-01  +2.916891e+00,
+4.057609e+00  +4.100000e+00,  +2.050000e+00  +1.025828e+00  +3.075828e+00,
+4.239237e+00  +4.300000e+00,  +2.150000e+00  +1.074553e+00  +3.224553e+00,
+4.436254e+00  +4.500000e+00,  +2.250000e+00  +1.126274e+00  +3.376274e+00,
+4.658357e+00  +4.700000e+00,  +2.350000e+00  +1.169094e+00  +3.519094e+00,
+4.853673e+00  +4.900000e+00,  +2.450000e+00  +1.225650e+00  +3.675650e+00,
+5.047616e+00  +5.100000e+00,  +2.550000e+00  +1.278874e+00  +3.828874e+00,
+5.253508e+00  +5.300000e+00,  +2.650000e+00  +1.331932e+00  +3.981932e+00,
+5.438870e+00  +5.500000e+00,  +2.750000e+00  +1.376080e+00  +4.126080e+00,
+5.624758e+00  +5.700000e+00,  +2.850000e+00  +1.422365e+00  +4.272365e+00,
+5.834893e+00  +5.900000e+00,  +2.950000e+00  +1.474983e+00  +4.424983e+00,
+6.028474e+00  +6.100000e+00,  +3.050000e+00  +1.525660e+00  +4.575660e+00,
+6.220972e+00  +6.300000e+00,  +3.150000e+00  +1.583087e+00  +4.733087e+00,
+6.416166e+00  +6.500000e+00,  +3.250000e+00  +1.614188e+00  +4.864188e+00,
+6.614072e+00  +6.700000e+00,  +3.350000e+00  +1.655492e+00  +5.005492e+00,
+6.802955e+00  +6.900000e+00,  +3.450000e+00  +1.736495e+00  +5.186495e+00,
+7.010138e+00  +7.100000e+00,  +3.550000e+00  +1.776281e+00  +5.326281e+00,
+7.199495e+00  +7.300000e+00,  +3.650000e+00  +1.834875e+00  +5.484875e+00,
+7.404114e+00  +7.500000e+00,  +3.750000e+00  +1.888884e+00  +5.638884e+00,
+7.587830e+00  +7.700000e+00,  +3.850000e+00  +1.923329e+00  +5.773329e+00,
+7.792156e+00  +7.900000e+00,  +3.950000e+00  +1.980801e+00  +5.930801e+00,
+7.990328e+00  +8.100000e+00,  +4.050000e+00  +2.015072e+00  +6.065072e+00,
+8.197450e+00  +8.300000e+00,  +4.150000e+00  +2.060104e+00  +6.210104e+00,
+8.347271e+00  +8.500000e+00,  +4.250000e+00  +2.139499e+00  +6.389499e+00,
+8.565810e+00  +8.700000e+00,  +4.350000e+00  +2.176919e+00  +6.526919e+00,
+8.764376e+00  +8.900000e+00,  +4.450000e+00  +2.241603e+00  +6.691603e+00,
+8.973805e+00  +9.100000e+00,  +4.550000e+00  +2.285074e+00  +6.835074e+00,
+9.160224e+00  +9.300000e+00,  +4.650000e+00  +2.334281e+00  +6.984281e+00,
+9.354297e+00  +9.500000e+00,  +4.750000e+00  +2.378006e+00  +7.128006e+00,
+9.521261e+00  +9.700000e+00,  +4.850000e+00  +2.418627e+00  +7.268627e+00,
+9.750798e+00  +9.900000e+00,  +4.950000e+00  +2.463247e+00  +7.413247e+00,
