+6.150000e+00, +8.130081e-02, +8.130081e-02, +7.221792e-02, +1.535187e-01, 
+6.250000e+00, +8.000000e-02, +8.000000e-02, +6.800009e-02, +1.480001e-01, 
+6.350000e+00, +7.874016e-02, +7.874016e-02, +8.369973e-02, +1.624399e-01, 
+6.450000e+00, +7.751938e-02, +7.751938e-02, +7.556567e-02, +1.530851e-01, 
+6.550000e+00, +7.633588e-02, +7.633588e-02, +6.480027e-02, +1.411361e-01, 
+6.650000e+00, +7.518797e-02, +7.518797e-02, +7.689749e-02, +1.520855e-01, 
+6.750000e+00, +7.407407e-02, +7.407407e-02, +5.660313e-02, +1.306772e-01, 
+6.850000e+00, +7.299270e-02, +7.299270e-02, +7.681652e-02, +1.498092e-01, 
+6.950000e+00, +7.194245e-02, +7.194245e-02, +6.582573e-02, +1.377682e-01, 
+7.050000e+00, +7.092199e-02, +7.092199e-02, +6.005389e-02, +1.309759e-01, 
+7.150000e+00, +6.993007e-02, +6.993007e-02, +5.823216e-02, +1.281622e-01, 
+7.250000e+00, +6.896552e-02, +6.896552e-02, +5.571850e-02, +1.246840e-01, 
+7.350000e+00, +6.802721e-02, +6.802721e-02, +5.942805e-02, +1.274553e-01, 
+7.450000e+00, +6.711409e-02, +6.711409e-02, +6.151335e-02, +1.286274e-01, 
+7.550000e+00, +6.622517e-02, +6.622517e-02, +5.674426e-02, +1.229694e-01, 
+7.650000e+00, +6.535948e-02, +6.535948e-02, +5.596743e-02, +1.213269e-01, 
+7.750000e+00, +6.451613e-02, +6.451613e-02, +4.692966e-02, +1.114458e-01, 
+7.850000e+00, +6.369427e-02, +6.369427e-02, +5.366056e-02, +1.173548e-01, 
+7.950000e+00, +6.289308e-02, +6.289308e-02, +6.665004e-02, +1.295431e-01, 
+8.050000e+00, +6.211180e-02, +6.211180e-02, +4.643007e-02, +1.085419e-01, 
+8.150000e+00, +6.134969e-02, +6.134969e-02, +7.415250e-02, +1.355022e-01, 
+8.250000e+00, +6.060606e-02, +6.060606e-02, +5.469750e-02, +1.153036e-01, 
+8.350000e+00, +5.988024e-02, +5.988024e-02, +7.079011e-02, +1.306703e-01, 
+8.450000e+00, +5.917160e-02, +5.917160e-02, +5.129186e-02, +1.104635e-01, 
+8.550000e+00, +5.847953e-02, +5.847953e-02, +6.217870e-02, +1.206582e-01, 
+8.650000e+00, +5.780347e-02, +5.780347e-02, +4.950752e-02, +1.073110e-01, 
+8.750000e+00, +5.714286e-02, +5.714286e-02, +4.820136e-02, +1.053442e-01, 
+8.850000e+00, +5.649718e-02, +5.649718e-02, +6.338163e-02, +1.198788e-01, 
+8.950000e+00, +5.586592e-02, +5.586592e-02, +5.192225e-02, +1.077882e-01, 
+9.050000e+00, +5.524862e-02, +5.524862e-02, +6.742662e-02, +1.226752e-01, 
+9.150000e+00, +5.464481e-02, +5.464481e-02, +4.443560e-02, +9.908041e-02, 
+9.250000e+00, +5.405405e-02, +5.405405e-02, +7.166276e-02, +1.257168e-01, 
+9.350000e+00, +5.347594e-02, +5.347594e-02, +3.590338e-02, +8.937932e-02, 
+9.450000e+00, +5.291005e-02, +5.291005e-02, +6.271890e-02, +1.156290e-01, 
+9.550000e+00, +5.235602e-02, +5.235602e-02, +4.725695e-02, +9.961297e-02, 
+9.650000e+00, +5.181347e-02, +5.181347e-02, +4.978407e-02, +1.015975e-01, 
+9.750000e+00, +5.128205e-02, +5.128205e-02, +4.556619e-02, +9.684824e-02, 
+9.850000e+00, +5.076142e-02, +5.076142e-02, +4.989035e-02, +1.006518e-01, 
+9.950000e+00, +5.025126e-02, +5.025126e-02, +3.136482e-02, +8.161607e-02, 
+1.005000e+01, +4.975124e-02, +4.975124e-02, +6.576763e-02, +1.155189e-01, 
+1.015000e+01, +4.926108e-02, +4.926108e-02, +4.372723e-02, +9.298831e-02, 
